Value,Timestamp
True,2021-05-18T17:12:04.6530048-07:00
True,2021-05-18T17:12:04.8067072-07:00
True,2021-05-18T17:12:04.8105344-07:00
True,2021-05-18T17:12:04.8271744-07:00
True,2021-05-18T17:12:04.8439040-07:00
True,2021-05-18T17:12:04.8606464-07:00
True,2021-05-18T17:12:04.8774016-07:00
True,2021-05-18T17:12:04.8941568-07:00
True,2021-05-18T17:12:04.9108736-07:00
True,2021-05-18T17:12:04.9276032-07:00
True,2021-05-18T17:12:04.9443328-07:00
True,2021-05-18T17:12:04.9610752-07:00
True,2021-05-18T17:12:04.9778816-07:00
True,2021-05-18T17:12:04.9946112-07:00
True,2021-05-18T17:12:05.0113536-07:00
True,2021-05-18T17:12:05.0280448-07:00
True,2021-05-18T17:12:05.0449152-07:00
True,2021-05-18T17:12:05.0615296-07:00
True,2021-05-18T17:12:05.0782976-07:00
True,2021-05-18T17:12:05.0949888-07:00
True,2021-05-18T17:12:05.1117440-07:00
True,2021-05-18T17:12:05.1284608-07:00
True,2021-05-18T17:12:05.1452288-07:00
True,2021-05-18T17:12:05.1619456-07:00
True,2021-05-18T17:12:05.1787520-07:00
True,2021-05-18T17:12:05.1954432-07:00
True,2021-05-18T17:12:05.2121984-07:00
True,2021-05-18T17:12:05.2289152-07:00
True,2021-05-18T17:12:05.2457088-07:00
True,2021-05-18T17:12:05.2624000-07:00
True,2021-05-18T17:12:05.2791680-07:00
True,2021-05-18T17:12:05.2958720-07:00
True,2021-05-18T17:12:05.3126528-07:00
True,2021-05-18T17:12:05.3293952-07:00
True,2021-05-18T17:12:05.3460864-07:00
True,2021-05-18T17:12:05.3628544-07:00
True,2021-05-18T17:12:05.3795456-07:00
True,2021-05-18T17:12:05.3963008-07:00
True,2021-05-18T17:12:05.4129792-07:00
True,2021-05-18T17:12:05.4297856-07:00
True,2021-05-18T17:12:05.4464256-07:00
True,2021-05-18T17:12:05.4632064-07:00
True,2021-05-18T17:12:05.4798848-07:00
True,2021-05-18T17:12:05.4966784-07:00
True,2021-05-18T17:12:05.5133696-07:00
True,2021-05-18T17:12:05.5301504-07:00
True,2021-05-18T17:12:05.5469056-07:00
True,2021-05-18T17:12:05.5635968-07:00
True,2021-05-18T17:12:05.5803776-07:00
True,2021-05-18T17:12:05.5970944-07:00
True,2021-05-18T17:12:05.6138624-07:00
True,2021-05-18T17:12:05.6305536-07:00
True,2021-05-18T17:12:05.6473600-07:00
True,2021-05-18T17:12:05.6640512-07:00
True,2021-05-18T17:12:05.6808320-07:00
True,2021-05-18T17:12:05.6975232-07:00
True,2021-05-18T17:12:05.7142784-07:00
True,2021-05-18T17:12:05.7309952-07:00
True,2021-05-18T17:12:05.7477760-07:00
True,2021-05-18T17:12:05.7644672-07:00
True,2021-05-18T17:12:05.7812352-07:00
True,2021-05-18T17:12:05.7979264-07:00
True,2021-05-18T17:12:05.8146816-07:00
True,2021-05-18T17:12:05.8313984-07:00
True,2021-05-18T17:12:05.8481408-07:00
True,2021-05-18T17:12:05.8648448-07:00
True,2021-05-18T17:12:05.8815744-07:00
True,2021-05-18T17:12:05.8983296-07:00
True,2021-05-18T17:12:05.9150720-07:00
True,2021-05-18T17:12:05.9318400-07:00
True,2021-05-18T17:12:05.9485440-07:00
True,2021-05-18T17:12:05.9652608-07:00
True,2021-05-18T17:12:05.9820416-07:00
True,2021-05-18T17:12:05.9987328-07:00
True,2021-05-18T17:12:06.0155136-07:00
True,2021-05-18T17:12:06.0322304-07:00
True,2021-05-18T17:12:06.0490112-07:00
True,2021-05-18T17:12:06.0657152-07:00
True,2021-05-18T17:12:06.0824832-07:00
True,2021-05-18T17:12:06.0991872-07:00
True,2021-05-18T17:12:06.1159552-07:00
True,2021-05-18T17:12:06.1326464-07:00
True,2021-05-18T17:12:06.1494400-07:00
True,2021-05-18T17:12:06.1661312-07:00
True,2021-05-18T17:12:06.1829504-07:00
True,2021-05-18T17:12:06.1995904-07:00
True,2021-05-18T17:12:06.2163712-07:00
True,2021-05-18T17:12:06.2330752-07:00
True,2021-05-18T17:12:06.2498688-07:00
True,2021-05-18T17:12:06.2665728-07:00
True,2021-05-18T17:12:06.2833536-07:00
True,2021-05-18T17:12:06.3000576-07:00
True,2021-05-18T17:12:06.3167872-07:00
True,2021-05-18T17:12:06.3335168-07:00
True,2021-05-18T17:12:06.3502720-07:00
True,2021-05-18T17:12:06.3669632-07:00
True,2021-05-18T17:12:06.3837440-07:00
True,2021-05-18T17:12:06.4004352-07:00
True,2021-05-18T17:12:06.4172032-07:00
True,2021-05-18T17:12:06.4338944-07:00
True,2021-05-18T17:12:06.4506624-07:00
True,2021-05-18T17:12:06.4673536-07:00
True,2021-05-18T17:12:06.4841216-07:00
True,2021-05-18T17:12:06.5008256-07:00
True,2021-05-18T17:12:06.5175680-07:00
True,2021-05-18T17:12:06.5343104-07:00
True,2021-05-18T17:12:06.5510016-07:00
True,2021-05-18T17:12:06.5677696-07:00
True,2021-05-18T17:12:06.5844864-07:00
True,2021-05-18T17:12:06.6012544-07:00
True,2021-05-18T17:12:06.7938560-07:00
True,2021-05-18T17:12:06.8296448-07:00
True,2021-05-18T17:12:06.8435712-07:00
True,2021-05-18T17:12:06.8593792-07:00
True,2021-05-18T17:12:06.8761344-07:00
True,2021-05-18T17:12:06.8928384-07:00
True,2021-05-18T17:12:06.9095424-07:00
True,2021-05-18T17:12:06.9262848-07:00
True,2021-05-18T17:12:06.9429888-07:00
True,2021-05-18T17:12:06.9597696-07:00
True,2021-05-18T17:12:06.9764352-07:00
True,2021-05-18T17:12:06.9931392-07:00
True,2021-05-18T17:12:07.0098688-07:00
True,2021-05-18T17:12:07.0266240-07:00
True,2021-05-18T17:12:07.0433152-07:00
True,2021-05-18T17:12:07.0600320-07:00
True,2021-05-18T17:12:07.0767616-07:00
True,2021-05-18T17:12:07.0935168-07:00
True,2021-05-18T17:12:07.1102080-07:00
True,2021-05-18T17:12:07.1269120-07:00
True,2021-05-18T17:12:07.1436800-07:00
True,2021-05-18T17:12:07.1603712-07:00
True,2021-05-18T17:12:07.1772416-07:00
True,2021-05-18T17:12:07.1938816-07:00
True,2021-05-18T17:12:07.2106496-07:00
True,2021-05-18T17:12:07.2273920-07:00
True,2021-05-18T17:12:07.2441472-07:00
True,2021-05-18T17:12:07.2608768-07:00
True,2021-05-18T17:12:07.2776192-07:00
True,2021-05-18T17:12:07.2943360-07:00
True,2021-05-18T17:12:07.3110784-07:00
True,2021-05-18T17:12:07.3277952-07:00
True,2021-05-18T17:12:07.3445120-07:00
True,2021-05-18T17:12:07.3612288-07:00
True,2021-05-18T17:12:07.3779328-07:00
True,2021-05-18T17:12:07.3946624-07:00
True,2021-05-18T17:12:07.4113920-07:00
True,2021-05-18T17:12:07.4281344-07:00
True,2021-05-18T17:12:07.4448768-07:00
True,2021-05-18T17:12:07.4616064-07:00
True,2021-05-18T17:12:07.4783744-07:00
True,2021-05-18T17:12:07.4951168-07:00
True,2021-05-18T17:12:07.5118336-07:00
True,2021-05-18T17:12:07.5285632-07:00
True,2021-05-18T17:12:07.5453056-07:00
True,2021-05-18T17:12:07.5620352-07:00
True,2021-05-18T17:12:07.5787520-07:00
True,2021-05-18T17:12:07.5955328-07:00
True,2021-05-18T17:12:07.6122496-07:00
True,2021-05-18T17:12:07.6290048-07:00
True,2021-05-18T17:12:07.6457472-07:00
True,2021-05-18T17:12:07.6624640-07:00
True,2021-05-18T17:12:07.6792064-07:00
True,2021-05-18T17:12:07.6959360-07:00
True,2021-05-18T17:12:07.7126656-07:00
True,2021-05-18T17:12:07.7293696-07:00
True,2021-05-18T17:12:07.7461120-07:00
True,2021-05-18T17:12:07.7628160-07:00
True,2021-05-18T17:12:07.7831424-07:00
True,2021-05-18T17:12:07.7962880-07:00
True,2021-05-18T17:12:07.8130816-07:00
True,2021-05-18T17:12:07.8297728-07:00
True,2021-05-18T17:12:07.8464896-07:00
True,2021-05-18T17:12:07.8633344-07:00
True,2021-05-18T17:12:07.8800384-07:00
True,2021-05-18T17:12:07.8967680-07:00
True,2021-05-18T17:12:07.9134720-07:00
True,2021-05-18T17:12:07.9302400-07:00
True,2021-05-18T17:12:07.9469312-07:00
True,2021-05-18T17:12:07.9637120-07:00
True,2021-05-18T17:12:07.9803904-07:00
True,2021-05-18T17:12:07.9971840-07:00
True,2021-05-18T17:12:08.0138624-07:00
True,2021-05-18T17:12:08.0306432-07:00
True,2021-05-18T17:12:08.0473216-07:00
True,2021-05-18T17:12:08.0640768-07:00
True,2021-05-18T17:12:08.0808192-07:00
True,2021-05-18T17:12:08.0975360-07:00
True,2021-05-18T17:12:08.1142912-07:00
True,2021-05-18T17:12:08.1310080-07:00
True,2021-05-18T17:12:08.1477888-07:00
True,2021-05-18T17:12:08.1644800-07:00
True,2021-05-18T17:12:08.1812352-07:00
True,2021-05-18T17:12:08.1979264-07:00
True,2021-05-18T17:12:08.2147072-07:00
True,2021-05-18T17:12:08.2314240-07:00
True,2021-05-18T17:12:08.2482304-07:00
True,2021-05-18T17:12:08.2648832-07:00
True,2021-05-18T17:12:08.2816640-07:00
True,2021-05-18T17:12:08.2983680-07:00
True,2021-05-18T17:12:08.3150720-07:00
True,2021-05-18T17:12:08.3318400-07:00
True,2021-05-18T17:12:08.3485952-07:00
True,2021-05-18T17:12:08.3653248-07:00
True,2021-05-18T17:12:08.3820160-07:00
True,2021-05-18T17:12:08.3988352-07:00
True,2021-05-18T17:12:08.4155136-07:00
True,2021-05-18T17:12:08.4323584-07:00
True,2021-05-18T17:12:08.4490368-07:00
True,2021-05-18T17:12:08.4658560-07:00
True,2021-05-18T17:12:08.4825600-07:00
True,2021-05-18T17:12:08.4993408-07:00
True,2021-05-18T17:12:08.5160320-07:00
True,2021-05-18T17:12:08.5328128-07:00
True,2021-05-18T17:12:08.5495424-07:00
True,2021-05-18T17:12:08.5662336-07:00
True,2021-05-18T17:12:08.5829888-07:00
True,2021-05-18T17:12:08.5996672-07:00
True,2021-05-18T17:12:08.6265088-07:00
True,2021-05-18T17:12:08.6332416-07:00
True,2021-05-18T17:12:08.6500224-07:00
True,2021-05-18T17:12:08.6667008-07:00
True,2021-05-18T17:12:08.6835072-07:00
True,2021-05-18T17:12:08.7001984-07:00
True,2021-05-18T17:12:08.7169280-07:00
True,2021-05-18T17:12:08.7336192-07:00
True,2021-05-18T17:12:08.7503744-07:00
True,2021-05-18T17:12:08.7670912-07:00
True,2021-05-18T17:12:08.7838208-07:00
True,2021-05-18T17:12:08.8005248-07:00
True,2021-05-18T17:12:08.8172544-07:00
True,2021-05-18T17:12:08.8340480-07:00
True,2021-05-18T17:12:08.8507264-07:00
True,2021-05-18T17:12:08.8674944-07:00
True,2021-05-18T17:12:08.8841472-07:00
True,2021-05-18T17:12:08.9009408-07:00
True,2021-05-18T17:12:08.9176576-07:00
True,2021-05-18T17:12:08.9344512-07:00
True,2021-05-18T17:12:08.9511296-07:00
True,2021-05-18T17:12:08.9679232-07:00
True,2021-05-18T17:12:08.9846144-07:00
True,2021-05-18T17:12:09.0014080-07:00
True,2021-05-18T17:12:09.0181376-07:00
True,2021-05-18T17:12:09.0348288-07:00
True,2021-05-18T17:12:09.0515584-07:00
True,2021-05-18T17:12:09.0683264-07:00
True,2021-05-18T17:12:09.0851712-07:00
True,2021-05-18T17:12:09.1018624-07:00
True,2021-05-18T17:12:09.1186304-07:00
True,2021-05-18T17:12:09.1355136-07:00
True,2021-05-18T17:12:09.1522048-07:00
True,2021-05-18T17:12:09.1688576-07:00
True,2021-05-18T17:12:09.1856768-07:00
True,2021-05-18T17:12:09.2023296-07:00
True,2021-05-18T17:12:09.2191232-07:00
True,2021-05-18T17:12:09.2358272-07:00
True,2021-05-18T17:12:09.2525696-07:00
True,2021-05-18T17:12:09.2693504-07:00
True,2021-05-18T17:12:09.2860288-07:00
True,2021-05-18T17:12:09.3027968-07:00
True,2021-05-18T17:12:09.3195136-07:00
True,2021-05-18T17:12:09.3362432-07:00
True,2021-05-18T17:12:09.3529216-07:00
True,2021-05-18T17:12:09.3697024-07:00
True,2021-05-18T17:12:09.3864192-07:00
True,2021-05-18T17:12:09.4031872-07:00
True,2021-05-18T17:12:09.4199296-07:00
True,2021-05-18T17:12:09.4367232-07:00
True,2021-05-18T17:12:09.4534016-07:00
True,2021-05-18T17:12:09.4701696-07:00
True,2021-05-18T17:12:09.4868992-07:00
True,2021-05-18T17:12:09.5035904-07:00
True,2021-05-18T17:12:09.5203584-07:00
True,2021-05-18T17:12:09.5370624-07:00
True,2021-05-18T17:12:09.5538432-07:00
True,2021-05-18T17:12:09.5705344-07:00
True,2021-05-18T17:12:09.5873152-07:00
True,2021-05-18T17:12:09.6040192-07:00
True,2021-05-18T17:12:09.6225152-07:00
True,2021-05-18T17:12:09.6375040-07:00
True,2021-05-18T17:12:09.6542464-07:00
True,2021-05-18T17:12:09.6709632-07:00
True,2021-05-18T17:12:09.6877056-07:00
True,2021-05-18T17:12:09.7044480-07:00
True,2021-05-18T17:12:09.7211776-07:00
True,2021-05-18T17:12:09.7379200-07:00
True,2021-05-18T17:12:09.7546496-07:00
True,2021-05-18T17:12:09.7714048-07:00
True,2021-05-18T17:12:09.7881472-07:00
True,2021-05-18T17:12:09.8048896-07:00
True,2021-05-18T17:12:09.8215936-07:00
True,2021-05-18T17:12:09.8383488-07:00
True,2021-05-18T17:12:09.8550784-07:00
True,2021-05-18T17:12:09.8718592-07:00
True,2021-05-18T17:12:09.8885632-07:00
True,2021-05-18T17:12:09.9053056-07:00
True,2021-05-18T17:12:09.9220352-07:00
True,2021-05-18T17:12:09.9388032-07:00
True,2021-05-18T17:12:09.9554816-07:00
True,2021-05-18T17:12:09.9722240-07:00
True,2021-05-18T17:12:09.9889408-07:00
True,2021-05-18T17:12:10.0056832-07:00
True,2021-05-18T17:12:10.0224384-07:00
True,2021-05-18T17:12:10.0391680-07:00
True,2021-05-18T17:12:10.0559872-07:00
True,2021-05-18T17:12:10.0727168-07:00
True,2021-05-18T17:12:10.0895104-07:00
True,2021-05-18T17:12:10.1063168-07:00
True,2021-05-18T17:12:10.1229952-07:00
True,2021-05-18T17:12:10.1397120-07:00
True,2021-05-18T17:12:10.1564544-07:00
True,2021-05-18T17:12:10.1731584-07:00
True,2021-05-18T17:12:10.1898752-07:00
True,2021-05-18T17:12:10.2066048-07:00
True,2021-05-18T17:12:10.2233344-07:00
True,2021-05-18T17:12:10.2401280-07:00
True,2021-05-18T17:12:10.2569856-07:00
True,2021-05-18T17:12:10.2737536-07:00
True,2021-05-18T17:12:10.2904192-07:00
True,2021-05-18T17:12:10.3071616-07:00
True,2021-05-18T17:12:10.3239424-07:00
True,2021-05-18T17:12:10.3407232-07:00
True,2021-05-18T17:12:10.3575680-07:00
True,2021-05-18T17:12:10.3742720-07:00
True,2021-05-18T17:12:10.3910272-07:00
True,2021-05-18T17:12:10.4077568-07:00
True,2021-05-18T17:12:10.4245248-07:00
