Value,Value.Item2,Timestamp
GO,False,2021-03-23T16:47:10.2431872-07:00
GO,False,2021-03-23T16:47:13.2406656-07:00
NOGO,False,2021-03-23T16:47:16.2412928-07:00
NOGO,False,2021-03-23T16:47:19.2302592-07:00
GO,False,2021-03-23T16:47:22.2315136-07:00
NOGO,False,2021-03-23T16:47:25.2317312-07:00
NOGO,False,2021-03-23T16:47:28.2298240-07:00
NOGO,False,2021-03-23T16:47:31.2530560-07:00
GO,False,2021-03-23T16:47:34.2291328-07:00
NOGO,False,2021-03-23T16:47:37.2300544-07:00
NOGO,False,2021-03-23T16:47:40.2290944-07:00
GO,False,2021-03-23T16:47:43.2303104-07:00
NOGO,False,2021-03-23T16:47:46.2386944-07:00
NOGO,False,2021-03-23T16:47:49.2300800-07:00
GO,False,2021-03-23T16:47:52.2464000-07:00
GO,False,2021-03-23T16:47:55.2337536-07:00
