Frame,Timestamp,Value
0,0.0033278,Frame
0,0.0033278,EndWorkflow
0,0.0033278,Wheel-0.132739375872882
1,0.0564415,Frame
1,0.0564415,EndWorkflow
1,0.0564415,Wheel-0.132739375872882
2,0.0720646,Frame
2,0.0720646,EndWorkflow
2,0.0720646,Wheel-0.969119088709876
3,0.0888888,Frame
3,0.0888888,EndWorkflow
3,0.0888888,Wheel-0.327924115736002
4,0.1057901,Frame
4,0.1057901,EndWorkflow
4,0.1057901,Wheel-0.523108855599123
5,0.1225696,Frame
5,0.1225696,EndWorkflow
5,0.1225696,Wheel-0.881913882625249
6,0.1392457,Frame
6,0.1392457,EndWorkflow
6,0.1392457,Wheel-0.240718909651376
7,0.1560346,Frame
7,0.1560346,EndWorkflow
7,0.1560346,Wheel-0.0770986224883695
8,0.1728064,Frame
8,0.1728064,EndWorkflow
8,0.1728064,Wheel-0.435903649514496
9,0.1895306,Frame
9,0.1895306,EndWorkflow
9,0.1895306,Wheel-0.27228336235149
10,0.2062965,Frame
10,0.2062965,EndWorkflow
10,0.2062965,Wheel-0.631088389377617
11,0.2230705,Frame
11,0.2230705,EndWorkflow
11,0.2230705,Wheel-0.989893416403743
12,0.2397601,Frame
12,0.2397601,EndWorkflow
12,0.2397601,Wheel-0.826273129240737
13,0.2562595,Frame
13,0.2562595,EndWorkflow
13,0.2562595,Wheel-0.185078156266864
14,0.2730134,Frame
14,0.2730134,EndWorkflow
14,0.2730134,Wheel-0.380262896129984
15,0.2897296,Frame
15,0.2897296,EndWorkflow
15,0.2897296,Wheel-0.380262896129984
16,0.3064826,Frame
16,0.3064826,EndWorkflow
16,0.3064826,Wheel-0.739067923156111
17,0.3232001,Frame
17,0.3232001,EndWorkflow
17,0.3232001,Wheel-0.934252663019231
18,0.3399389,Frame
18,0.3399389,EndWorkflow
18,0.3399389,Wheel-0.293057690045358
19,0.3566724,Frame
19,0.3566724,EndWorkflow
19,0.3566724,Wheel-0.293057690045358
20,0.3734064,Frame
20,0.3734064,EndWorkflow
20,0.3734064,Wheel-0.488242429908478
21,0.3901536,Frame
21,0.3901536,EndWorkflow
21,0.3901536,Wheel-0.847047456934605
22,0.4069105,Frame
22,0.4069105,EndWorkflow
22,0.4069105,Wheel-0.683427169771598
23,0.4236568,Frame
23,0.4236568,EndWorkflow
23,0.4236568,Wheel-0.0422321967977249
24,0.440441,Frame
24,0.440441,EndWorkflow
24,0.440441,Wheel-0.878611909634719
25,0.4572041,Frame
25,0.4572041,EndWorkflow
25,0.4572041,Wheel-0.237416936660845
26,0.4739495,Frame
26,0.4739495,EndWorkflow
26,0.4739495,Wheel-0.596221963686972
27,0.4907134,Frame
27,0.4907134,EndWorkflow
27,0.4907134,Wheel-0.432601676523966
28,0.507482,Frame
28,0.507482,EndWorkflow
28,0.507482,Wheel-0.791406703550092
29,0.5242397,Frame
29,0.5242397,EndWorkflow
29,0.5242397,Wheel-0.986591443413213
30,0.5409953,Frame
30,0.5409953,EndWorkflow
30,0.5409953,Wheel-0.986591443413213
31,0.5577191,Frame
31,0.5577191,EndWorkflow
31,0.5577191,Wheel-0.345396470439339
32,0.5744769,Frame
32,0.5744769,EndWorkflow
