Frame,Timestamp,Value
0,0.0007598,Frame
0,0.0007598,Wheel-0.322677815948929
1,0.0293275,Frame
1,0.0293275,Wheel-0.354242268649043
2,0.0818739,Frame
2,0.0818739,Wheel-0.354242268649043
3,0.0845939,Frame
3,0.0845939,Wheel-0.071852322701296
4,0.1128293,Frame
4,0.1128293,Wheel-0.071852322701296
5,0.118089,Frame
5,0.118089,Wheel-0.267037062564416
6,0.1473926,Frame
6,0.1473926,Wheel-0.625842089590543
7,0.1515856,Frame
7,0.1515856,Wheel-0.462221802427537
8,0.17941,Frame
8,0.17941,Wheel-0.821026829453663
9,0.1850928,Frame
9,0.1850928,Wheel-0.657406542290657
10,0.2125413,Frame
10,0.2125413,Wheel-0.0162115693167837
11,0.2185863,Frame
11,0.2185863,Wheel-0.211396309179904
12,0.2462498,Frame
12,0.2462498,StartFlash - stimuli\images\28075.tiff
12,0.2462498,Wheel-0.960570815932271
13,0.3270612,Frame
13,0.3270612,Wheel-0.960570815932271
14,0.3300583,Frame
14,0.3300583,Wheel-0.319375842958398
15,0.3467705,Frame
15,0.3467705,Wheel-0.678180869984525
16,0.3634859,Frame
16,0.3634859,Wheel-0.514560582821519
17,0.3802153,Frame
17,0.3802153,Wheel-0.873365609847645
18,0.3969941,Frame
18,0.3969941,Wheel-0.232170636873772
19,0.4137105,Frame
19,0.4137105,Wheel-0.0685503497107655
20,0.4304448,Frame
20,0.4304448,Wheel-0.427355376736892
21,0.4471621,Frame
21,0.4471621,Wheel-0.263735089573886
22,0.4639271,Frame
22,0.4639271,Wheel-0.622540116600012
23,0.4806571,Frame
23,0.4806571,Wheel-0.817724856463133
24,0.4973976,Frame
24,0.4973976,EndFlash
24,0.4973976,Wheel-0.817724856463133
25,0.5144507,Frame
25,0.5144507,Wheel-0.176529883489259
26,0.5308489,Frame
26,0.5308489,Wheel-0.535334910515386
27,0.5475842,Frame
27,0.5475842,Wheel-0.730519650378506
28,0.5642998,Frame
28,0.5642998,Wheel-0.5668993632155
29,0.5810422,Frame
29,0.5810422,Wheel-0.925704390241627
30,0.5977656,Frame
30,0.5977656,Wheel-0.284509417267753
31,0.6145029,Frame
31,0.6145029,Wheel-0.120889130104747
32,0.6312244,Frame
32,0.6312244,Wheel-0.479694157130874
33,0.6479746,Frame
33,0.6479746,Wheel-0.838499184157
34,0.6647002,Frame
34,0.6647002,Wheel-0.674878896993994
35,0.6814285,Frame
35,0.6814285,Wheel-0.0336839240201208
36,0.6981652,Frame
36,0.6981652,Wheel-0.870063636857115
37,0.7149073,Frame
37,0.7149073,Wheel-0.228868663883241
38,0.7316566,Frame
38,0.7316566,Wheel-0.424053403746362
39,0.7483526,Frame
39,0.7483526,Wheel-0.782858430772488
40,0.7650933,Frame
40,0.7650933,Wheel-0.782858430772488
41,0.7818202,Frame
41,0.7818202,Wheel-0.978043170635609
42,0.7985727,Frame
42,0.7985727,Wheel-0.336848197661735
43,0.8152856,Frame
43,0.8152856,Wheel-0.173227910498729
44,0.8320471,Frame
44,0.8320471,Wheel-0.532032937524856
45,0.8488358,Frame
45,0.8488358,Wheel-0.890837964550982
46,0.8655263,Frame
46,0.8655263,Wheel-0.727217677387976
47,0.8822789,Frame
47,0.8822789,Wheel-0.0860227044141026
48,0.8990312,Frame
48,0.8990312,Wheel-0.444827731440229
49,0.9157808,Frame
49,0.9157808,Wheel-0.281207444277223
50,0.932508,Frame
