Frame,Timestamp,Value
0,0.0142572,Frame
0,0.0142572,Wheel-0.455011665567295
1,0.453746,Frame
1,0.453746,Wheel-0.455011665567295
2,0.4710371,Frame
2,0.4710371,Wheel-0.00900143245654247
3,0.516988,Frame
3,0.516988,Wheel-0.00900143245654247
4,0.518991,Frame
4,0.518991,Wheel-0.00900143245654247
5,0.5195913,Frame
5,0.5195913,Wheel-0.845381145293536
6,0.5359786,Frame
6,0.5359786,Wheel-0.204186172319663
7,0.5526456,Frame
7,0.5526456,Wheel-0.562991199345789
8,0.5693106,Frame
8,0.5693106,Wheel-0.399370912182783
9,0.5860459,Frame
9,0.5860459,Wheel-0.75817593920891
10,0.6026296,Frame
10,0.6026296,Wheel-0.116980966235036
11,0.619284,Frame
11,0.619284,Wheel-0.95336067907203
12,0.6359538,Frame
12,0.6359538,Wheel-0.312165706098157
13,0.6526447,Frame
13,0.6526447,Wheel-0.507350445961277
14,0.6693052,Frame
14,0.6693052,Wheel-0.507350445961277
15,0.6859721,Frame
15,0.6859721,Wheel-0.702535185824398
16,0.702649,Frame
16,0.702649,Wheel-0.0613402128505242
17,0.7193015,Frame
17,0.7193015,Wheel-0.420145239876651
18,0.7359741,Frame
18,0.7359741,Wheel-0.256524952713645
19,0.7526364,Frame
19,0.7526364,Wheel-0.615329979739771
20,0.7692987,Frame
20,0.7692987,Wheel-0.451709692576765
21,0.7859716,Frame
21,0.7859716,Wheel-0.810514719602892
22,0.80263,Frame
22,0.80263,Wheel-0.169319746629018
23,0.8193015,Frame
23,0.8193015,Wheel-0.00569945946601194
24,0.8359754,Frame
24,0.8359754,Wheel-0.364504486492139
25,0.8526317,Frame
25,0.8526317,Wheel-0.723309513518265
26,0.8692991,Frame
26,0.8692991,Wheel-0.559689226355259
27,0.8859645,Frame
27,0.8859645,Wheel-0.918494253381386
28,0.9026266,Frame
28,0.9026266,Wheel-0.113678993244506
29,0.9192867,Frame
29,0.9192867,Wheel-0.113678993244506
30,0.9359556,Frame
30,0.9359556,Wheel-0.308863733107626
31,0.9526302,Frame
31,0.9526302,Wheel-0.667668760133753
32,0.9693006,Frame
32,0.9693006,Wheel-0.0264737871598796
33,0.9859681,Frame
33,0.9859681,Wheel-0.862853499996873
34,1.0074453,Frame
34,1.0074453,TouchOfEvil
34,1.0074453,MovieFrame-1
34,1.0074453,MovieFrame-2
34,1.0074453,Wheel-0.970833033775367
35,1.1067047,Frame
35,1.1067047,MovieFrame-3
35,1.1067047,Wheel-0.329638060801494
36,1.1129854,Frame
36,1.1129854,Wheel-0.329638060801494
37,1.1135193,Frame
37,1.1135193,Wheel-0.329638060801494
38,1.1193346,Frame
38,1.1193346,Wheel-0.166017773638488
39,1.1359881,Frame
39,1.1359881,MovieFrame-4
39,1.1359881,Wheel-0.524822800664614
40,1.1529616,Frame
40,1.1529616,Wheel-0.720007540527735
41,1.1693297,Frame
41,1.1693297,MovieFrame-5
41,1.1693297,Wheel-0.720007540527735
42,1.1862862,Frame
42,1.1862862,Wheel-0.915192280390855
43,1.2026645,Frame
43,1.2026645,Wheel-0.273997307416982
44,1.2193252,Frame
